"2018-11-02 13:41:58 [main] INFO  c.t.VscAppointmentApplicationTests - Starting VscAppointmentApplicationTests on techsophy-Vostro-3900 with PID 16088 (started by sravani in /home/sravani/Documents/workspace-sts-3.9.5.RELEASE/vsc-appointment)
""2018-11-02 13:42:02 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 13:42:02 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 13:42:02 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2018-11-02 13:42:02 [main] INFO  c.t.VscAppointmentApplicationTests - Started VscAppointmentApplicationTests in 4.567 seconds (JVM running for 5.353)
""2018-11-02 14:11:01 [main] INFO  c.t.v.VscAppointmentApplicationTests - Starting VscAppointmentApplicationTests on techsophy-Vostro-3900 with PID 17431 (started by sravani in /home/sravani/Tahakom_Latest/tahakom_02112018/tahakom/vsc-appointment)
""2018-11-02 14:11:01 [main] DEBUG c.t.v.VscAppointmentApplicationTests - Running with Spring Boot v2.0.4.RELEASE, Spring v5.0.8.RELEASE
""2018-11-02 14:11:01 [main] INFO  c.t.v.VscAppointmentApplicationTests - No active profile set, falling back to default profiles: default
""2018-11-02 14:11:03 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6823d2b9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$d19af3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@680a66dd' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$25a63da5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:03 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:11:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6fc6deb7, org.springframework.security.web.context.SecurityContextPersistenceFilter@70211df5, org.springframework.security.web.header.HeaderWriterFilter@7d78f3d5, org.springframework.security.web.authentication.logout.LogoutFilter@670b3ca, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@77681ce4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@38e7ed69, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3c3820bb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@367f0121, org.springframework.security.web.session.SessionManagementFilter@7f6874f2, org.springframework.security.web.access.ExceptionTranslationFilter@d5af0a5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3b5c665c]
""2018-11-02 14:11:06 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
""2018-11-02 14:11:06 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 14:11:06 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 14:11:06 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2018-11-02 14:11:06 [main] INFO  c.t.v.VscAppointmentApplicationTests - Started VscAppointmentApplicationTests in 5.903 seconds (JVM running for 6.837)
""2018-11-02 14:15:05 [main] INFO  c.t.v.VscAppointmentApplicationTests - Starting VscAppointmentApplicationTests on techsophy-Vostro-3900 with PID 17667 (started by sravani in /home/sravani/Tahakom_Latest/tahakom_02112018/tahakom/vsc-appointment)
""2018-11-02 14:15:05 [main] DEBUG c.t.v.VscAppointmentApplicationTests - Running with Spring Boot v2.0.4.RELEASE, Spring v5.0.8.RELEASE
""2018-11-02 14:15:05 [main] INFO  c.t.v.VscAppointmentApplicationTests - No active profile set, falling back to default profiles: default
""2018-11-02 14:15:07 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6823d2b9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$d19af3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@472698d' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$25a63da5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:07 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-11-02 14:15:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4397a639, org.springframework.security.web.context.SecurityContextPersistenceFilter@4784efd9, org.springframework.security.web.header.HeaderWriterFilter@4b4eced1, org.springframework.security.web.authentication.logout.LogoutFilter@7fb48179, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@32b0876c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@427ae189, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@514de325, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@24841372, org.springframework.security.web.session.SessionManagementFilter@69d23296, org.springframework.security.web.access.ExceptionTranslationFilter@6f231ced, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@fe7b6b0]
""2018-11-02 14:15:09 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
""2018-11-02 14:15:09 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 14:15:09 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
""2018-11-02 14:15:09 [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2018-11-02 14:15:09 [main] INFO  c.t.v.VscAppointmentApplicationTests - Started VscAppointmentApplicationTests in 4.291 seconds (JVM running for 5.017)
"
